,country_code,country_name,school_attendance,year
468,UGA,Uganda,84.80000305175781,2016
469,UKR,Ukraine,99.80000305175781,2012
472,TZA,United Republic of Tanzania,80.80000305175781,2016
474,URY,Uruguay,97.12309265136719,2013
476,VUT,Vanuatu,77.19999694824219,2013
478,VNM,Viet Nam,97.72537994384766,2014
479,YEM,Yemen,76.41631317138672,2013
480,ZMB,Zambia,84.09916687011719,2018
481,ZWE,Zimbabwe,90.5999984741211,2019
517,AFG,Afghanistan,38.29999923706055,2015
518,ALB,Albania,95.12409973144531,2018
519,DZA,Algeria,85.2013168334961,2020
521,AGO,Angola,31.399999618530273,2016
524,ARG,Argentina,89.40000915527344,2020
525,ARM,Armenia,94.17919921875,2016
531,BGD,Bangladesh,57.79999923706055,2019
532,BRB,Barbados,88.9000015258789,2012
533,BLR,Belarus,93.27665710449219,2020
535,BLZ,Belize,28.600000381469727,2011
536,BEN,Benin,30.399999618530273,2018
537,BTN,Bhutan,52.79999923706055,2010
538,BOL,Bolivia (Plurinational State of),71.72473907470703,2016
539,BIH,Bosnia and Herzegovina,95.0999984741211,2012
541,BRA,Brazil,85.03164672851562,2019
545,BFA,Burkina Faso,18,2010
546,BDI,Burundi,24.19702911376953,2017
548,KHM,Cambodia,50.400001525878906,2014
549,CMR,Cameroon,52.39894104003906,2018
551,CAF,Central African Republic,13.31035041809082,2019
552,TCD,Chad,14.320420265197754,2019
553,CHL,Chile,59.79999923706055,2017
554,CHN,China,73.30000305175781,2015
555,COL,Colombia,77.30000305175781,2015
556,COM,Comoros,48.5,2012
557,COG,Congo,64.67298889160156,2015
559,CRI,Costa Rica,79.59504699707031,2018
561,CUB,Cuba,94.62027740478516,2019
564,CIV,Côte d'Ivoire,40.2575798034668,2016
565,PRK,Democratic People's Republic of Korea,96.0999984741211,2017
566,COD,Democratic Republic of the Congo,31.965599060058594,2018
570,DOM,Dominican Republic,79.68991088867188,2019
571,ECU,Ecuador,83.4000015258789,2019
572,EGY,Egypt,84.9000015258789,2014
573,SLV,El Salvador,71,2014
575,ERI,Eritrea,59.099998474121094,2010
578,ETH,Ethiopia,27.211820602416992,2016
582,GAB,Gabon,54.79999923706055,2012
583,GMB,Gambia,44.20000076293945,2018
584,GEO,Georgia,96,2018
586,GHA,Ghana,40.93626022338867,2018
589,GTM,Guatemala,51.79999923706055,2015
590,GIN,Guinea,31.911380767822266,2018
591,GNB,Guinea-Bissau,9.57109546661377,2019
592,GUY,Guyana,89.98651885986328,2020
593,HTI,Haiti,28.422279357910156,2017
595,HND,Honduras,59.8969612121582,2019
598,IND,India,80.0999984741211,2016
599,IDN,Indonesia,89.21835327148438,2017
601,IRQ,Iraq,57.5,2018
605,JAM,Jamaica,92,2011
607,JOR,Jordan,89.0805892944336,2018
608,KAZ,Kazakhstan,99.4000015258789,2015
609,KEN,Kenya,42.20000076293945,2014
610,KIR,Kiribati,81.0196762084961,2019
611,XKX,Kosovo under UNSC res. 1244*,93.7,2020
613,KGZ,Kyrgyzstan,96.9000015258789,2018
614,LAO,Lao People's Democratic Republic,60.5,2017
617,LSO,Lesotho,54.5,2018
618,LBR,Liberia,14.100000381469727,2013
623,MDG,Madagascar,27.200000762939453,2018
624,MWI,Malawi,28,2016
626,MDV,Maldives,83.69999694824219,2017
627,MLI,Mali,33.5,2015
630,MRT,Mauritania,28.518310546875,2015
632,MEX,Mexico,89.5,2018
635,MNG,Mongolia,93,2018
636,MNE,Montenegro,93.21935272216797,2018
639,MOZ,Mozambique,15.800000190734863,2011
640,MMR,Myanmar,69,2016
641,NAM,Namibia,60.29999923706055,2013
643,NPL,Nepal,50.26686096191406,2019
647,NER,Niger,19.299999237060547,2012
648,NGA,Nigeria,44.79999923706055,2018
650,MKD,North Macedonia,97.18486022949219,2019
653,PAK,Pakistan,33.16550064086914,2018
655,PAN,Panama,82,2013
657,PRY,Paraguay,79.4000015258789,2017
658,PER,Peru,85.80000305175781,2012
659,PHL,Philippines,74.14222717285156,2017
662,QAT,Qatar,93.41665649414062,2012
664,MDA,Republic of Moldova,96.30000305175781,2012
665,ROU,Romania,90.04000091552734,2016
667,RWA,Rwanda,29.600000381469727,2015
669,LCA,Saint Lucia,92.9000015258789,2012
671,WSM,Samoa,80.54290771484375,2020
673,STP,Sao Tome and Principe,55.32164001464844,2019
675,SEN,Senegal,31.007020950317383,2019
676,SRB,Serbia,98.61620330810547,2019
678,SLE,Sierra Leone,36.20000076293945,2017
684,ZAF,South Africa,85.18895721435547,2016
685,SSD,South Sudan,4.699999809265137,2010
687,LKA,Sri Lanka,92.43238830566406,2016
688,PSE,State of Palestine,95.050048828125,2020
689,SDN,Sudan,31.200000762939453,2014
690,SUR,Suriname,62.400001525878906,2018
694,TJK,Tajikistan,97.15941619873047,2017
695,THA,Thailand,86.7232666015625,2019
696,TLS,Timor-Leste,54.16381072998047,2016
697,TGO,Togo,53.06528091430664,2017
699,TON,Tonga,89.7300033569336,2019
701,TUN,Tunisia,82,2018
703,TKM,Turkmenistan,97.54215240478516,2019
704,TCA,Turks and Caicos Islands,92.53872680664062,2020
705,TUV,Tuvalu,74.86376190185547,2020
706,UGA,Uganda,19.399999618530273,2016
707,UKR,Ukraine,98.30000305175781,2012
710,TZA,United Republic of Tanzania,27.700000762939453,2016
712,URY,Uruguay,76,2013
716,VNM,Viet Nam,90.4000015258789,2014
717,YEM,Yemen,38.79999923706055,2013
718,ZMB,Zambia,45.842288970947266,2018
719,ZWE,Zimbabwe,51.70000076293945,2019
755,AFG,Afghanistan,28,2015
756,ALB,Albania,77.64391326904297,2018
757,DZA,Algeria,50.61705017089844,2020
759,AGO,Angola,30,2016
762,ARG,Argentina,66.58509063720703,2020
763,ARM,Armenia,85.18035888671875,2016
769,BGD,Bangladesh,48.099998474121094,2019
770,BRB,Barbados,82,2012
771,BLR,Belarus,86.75361633300781,2020
774,BEN,Benin,11.800000190734863,2018
775,BTN,Bhutan,23.700000762939453,2010
776,BOL,Bolivia (Plurinational State of),73.18549346923828,2016
777,BIH,Bosnia and Herzegovina,91.80000305175781,2012
779,BRA,Brazil,65.11937713623047,2019
783,BFA,Burkina Faso,4.599999904632568,2010
784,BDI,Burundi,12.01498031616211,2017
786,KHM,Cambodia,26.399999618530273,2014
787,CMR,Cameroon,27.683250427246094,2018
789,CAF,Central African Republic,5.363203048706055,2019
790,TCD,Chad,6.660534858703613,2019
791,CHL,Chile,74.30000305175781,2017
792,CHN,China,59.599998474121094,2015
793,COL,Colombia,48.099998474121094,2015
794,COM,Comoros,27.200000762939453,2012
795,COG,Congo,36.49729919433594,2015
797,CRI,Costa Rica,45.932640075683594,2018
799,CUB,Cuba,73.4530029296875,2019
802,CIV,Côte d'Ivoire,16.801259994506836,2016
803,PRK,Democratic People's Republic of Korea,94.80000305175781,2017
804,COD,Democratic Republic of the Congo,34.29473876953125,2018
808,DOM,Dominican Republic,65.7913589477539,2019
809,ECU,Ecuador,70.9000015258789,2019
810,EGY,Egypt,69.5,2014
811,SLV,El Salvador,43.79999923706055,2014
816,ETH,Ethiopia,7.92421293258667,2016
820,GAB,Gabon,15.899999618530273,2012
821,GMB,Gambia,30.700000762939453,2018
822,GEO,Georgia,84.5999984741211,2018
824,GHA,Ghana,19.62830924987793,2018
827,GTM,Guatemala,31.399999618530273,2015
828,GIN,Guinea,12.7264404296875,2018
829,GNB,Guinea-Bissau,6.864424228668213,2019
830,GUY,Guyana,74.199951171875,2020
831,HTI,Haiti,21.212839126586914,2017
833,HND,Honduras,37.62699890136719,2019
836,IND,India,64.30000305175781,2016
837,IDN,Indonesia,67.03572082519531,2017
839,IRQ,Iraq,33.099998474121094,2018
843,JAM,Jamaica,75.9000015258789,2011
845,JOR,Jordan,70.7668228149414,2018
846,KAZ,Kazakhstan,95.5999984741211,2015
847,KEN,Kenya,35.5,2014
848,KIR,Kiribati,54.146461486816406,2019
849,XKX,Kosovo under UNSC res. 1244*,86.8,2020
851,KGZ,Kyrgyzstan,86.69999694824219,2018
852,LAO,Lao People's Democratic Republic,38.099998474121094,2017
855,LSO,Lesotho,22.399999618530273,2018
856,LBR,Liberia,11.5,2013
861,MDG,Madagascar,12.800000190734863,2018
862,MWI,Malawi,17.399999618530273,2016
864,MDV,Maldives,34.900001525878906,2017
865,MLI,Mali,17.299999237060547,2015
868,MRT,Mauritania,20.02189064025879,2015
870,MEX,Mexico,68,2018
